experiment_id,case_id,category,difficulty,harness,adapter,model,requested_model_id,reported_model_id,skill_condition,repeat,synthetic,eligible_for_scoring,funnel,migration_success,tokens_in,cached_input_tokens,tokens_out,reasoning_output_tokens,tokens_total,cost_usd,cost_source,migration_wall_clock_s,e2e_elapsed_s,iterations,token_budget,token_budget_exceeded,session_id,result_path
baseline-claude-opus47-local-v1,attention,multi-kernel-pipelines,hard,claude-code,claude_code,opus-4-7,claude-opus-4-7,claude-opus-4-7,oob,0,False,True,pass,True,1852570,,4929,,1857499,1.19422175,provider_reported,173.52981805009767,176.86578026087955,31,500000,True,a08c6637-11ae-4a51-88e0-a5b2a70c0883,artifacts/stage2/baseline-claude-opus47-local-v1/attention/claude-code__opus-4-7__oob__r0/migration.json
baseline-claude-opus47-local-v1,attention,multi-kernel-pipelines,hard,claude-code,claude_code,opus-4-7,claude-opus-4-7,claude-opus-4-7,with-sycl-skill,0,False,True,pass,True,1944290,,7549,,1951839,1.3334789999999996,provider_reported,155.5086031530518,158.6117747600656,31,500000,True,856d222b-1c69-4eb0-801d-3da866ee9e26,artifacts/stage2/baseline-claude-opus47-local-v1/attention/claude-code__opus-4-7__with-sycl-skill__r0/migration.json
baseline-claude-opus47-local-v1,batchedGemm,linear-algebra,hard,claude-code,claude_code,opus-4-7,claude-opus-4-7,claude-opus-4-7,oob,0,False,True,pass,True,1877657,,7838,,1885495,1.3084414999999998,provider_reported,207.84545061108656,210.91605452005751,31,500000,True,dee4fbbe-b921-4005-8ddb-7fb84a4ba390,artifacts/stage2/baseline-claude-opus47-local-v1/batchedGemm/claude-code__opus-4-7__oob__r0/migration.json
baseline-claude-opus47-local-v1,batchedGemm,linear-algebra,hard,claude-code,claude_code,opus-4-7,claude-opus-4-7,claude-opus-4-7,with-sycl-skill,0,False,True,pass,True,1946149,,8807,,1954956,1.3722697499999998,provider_reported,226.29596251808107,229.47977044899017,31,500000,True,6ef62e3e-607e-4fa7-9654-f47cff7aa847,artifacts/stage2/baseline-claude-opus47-local-v1/batchedGemm/claude-code__opus-4-7__with-sycl-skill__r0/migration.json
baseline-claude-opus47-local-v1,bfs,graph-irregular,hard,claude-code,claude_code,opus-4-7,claude-opus-4-7,claude-opus-4-7,oob,0,False,True,pass,True,1924776,,7412,,1932188,1.3166992500000005,provider_reported,159.04693496390246,162.08687727991492,31,500000,True,a81b9d2e-5951-4952-9c02-9fd2e4be2bf3,artifacts/stage2/baseline-claude-opus47-local-v1/bfs/claude-code__opus-4-7__oob__r0/migration.json
baseline-claude-opus47-local-v1,bfs,graph-irregular,hard,claude-code,claude_code,opus-4-7,claude-opus-4-7,claude-opus-4-7,with-sycl-skill,0,False,True,pass,True,1948004,,7846,,1955850,1.3455727499999999,provider_reported,164.94421205716208,168.02914405986667,31,500000,True,35a5fbc6-1064-44c8-b020-ed945d713f03,artifacts/stage2/baseline-claude-opus47-local-v1/bfs/claude-code__opus-4-7__with-sycl-skill__r0/migration.json
baseline-claude-opus47-local-v1,bnbAdam8bitMoments,simple-kernels,hard,claude-code,claude_code,opus-4-7,claude-opus-4-7,claude-opus-4-7,oob,0,False,True,wrong_output,False,1886294,,6842,,1893136,1.2746867500000003,provider_reported,189.9734699029941,193.16960660903715,31,500000,True,83a5f8c5-7e86-4bdc-9d4b-9fb41088198a,artifacts/stage2/baseline-claude-opus47-local-v1/bnbAdam8bitMoments/claude-code__opus-4-7__oob__r0/migration.json
baseline-claude-opus47-local-v1,bnbAdam8bitMoments,simple-kernels,hard,claude-code,claude_code,opus-4-7,claude-opus-4-7,claude-opus-4-7,with-sycl-skill,0,False,True,wrong_output,False,1913517,,7086,,1920603,1.3033492500000001,provider_reported,173.413912412012,176.84612892009318,31,500000,True,eea16471-3ba9-450c-a3ef-90b96673901c,artifacts/stage2/baseline-claude-opus47-local-v1/bnbAdam8bitMoments/claude-code__opus-4-7__with-sycl-skill__r0/migration.json
baseline-claude-opus47-local-v1,bnbInt8VectorQuant,reductions-scans,hard,claude-code,claude_code,opus-4-7,claude-opus-4-7,claude-opus-4-7,oob,0,False,True,wrong_output,False,1886875,,6624,,1893499,1.2728162499999998,provider_reported,156.73625042685308,159.96415444090962,31,500000,True,d17ee68f-1a1a-4fcc-ae80-4a07f8ddd5fe,artifacts/stage2/baseline-claude-opus47-local-v1/bnbInt8VectorQuant/claude-code__opus-4-7__oob__r0/migration.json
baseline-claude-opus47-local-v1,bnbInt8VectorQuant,reductions-scans,hard,claude-code,claude_code,opus-4-7,claude-opus-4-7,claude-opus-4-7,with-sycl-skill,0,False,True,wrong_output,False,1957841,,6892,,1964733,1.3260604999999999,provider_reported,185.21401885407977,188.43771583912894,31,500000,True,d58e2143-a001-4f92-8771-82aa4cbf9b3f,artifacts/stage2/baseline-claude-opus47-local-v1/bnbInt8VectorQuant/claude-code__opus-4-7__with-sycl-skill__r0/migration.json
