experiment_id,case_id,category,difficulty,harness,adapter,model,requested_model_id,reported_model_id,skill_condition,repeat,synthetic,eligible_for_scoring,funnel,migration_success,tokens_in,cached_input_tokens,tokens_out,reasoning_output_tokens,tokens_total,cost_usd,cost_source,migration_wall_clock_s,e2e_elapsed_s,iterations,token_budget,token_budget_exceeded,session_id,result_path
codebuddy-kimi-k3-2-hard50-v1,attention,multi-kernel-pipelines,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,oob,0,False,True,pass,True,457178,,4223,,461401,0.0,provider_reported,132.53782049997244,144.94030099996598,31,500000,False,e974cf14-3846-421a-97d6-122547c3316d,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/attention/codebuddy__kimi-k3-2__oob__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,attention,multi-kernel-pipelines,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,with-sycl-skill,0,False,True,pass,True,380872,,2012,,382884,0.0,provider_reported,76.92190269997809,88.95962800004054,23,500000,False,dec96143-3440-4ca0-a2ec-8bdfe2981a2a,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/attention/codebuddy__kimi-k3-2__with-sycl-skill__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,batchedGemm,linear-algebra,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,oob,0,False,True,pass,True,497394,,4103,,501497,0.0,provider_reported,136.02523480000673,148.00826689996757,32,500000,True,af1b2ca3-1ef1-4c98-9649-2631f4139257,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/batchedGemm/codebuddy__kimi-k3-2__oob__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,batchedGemm,linear-algebra,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,with-sycl-skill,0,False,True,pass,True,380804,,2279,,383083,0.0,provider_reported,87.6959094000049,99.53317599999718,26,500000,False,3b9901ea-132b-405d-8087-234cbabd0f25,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/batchedGemm/codebuddy__kimi-k3-2__with-sycl-skill__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,bnbAdam8bitMoments,simple-kernels,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,oob,0,False,True,wrong_output,False,440630,,4017,,444647,0.0,provider_reported,129.83390239998698,142.50892230001045,31,500000,False,33592a86-b96b-444f-82c8-3378772427a5,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/bnbAdam8bitMoments/codebuddy__kimi-k3-2__oob__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,bnbAdam8bitMoments,simple-kernels,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,with-sycl-skill,0,False,True,wrong_output,False,989458,,7500,,996958,0.0,provider_reported,219.2183257000288,232.31482119997963,67,500000,True,992d18a5-c983-494c-9591-d7ec6820e75c,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/bnbAdam8bitMoments/codebuddy__kimi-k3-2__with-sycl-skill__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,bnbInt8VectorQuant,reductions-scans,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,oob,0,False,True,wrong_output,False,449962,,3813,,453775,0.0,provider_reported,124.70729260001099,137.98442250001244,28,500000,False,34139041-c339-4922-a33f-4ff415150299,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/bnbInt8VectorQuant/codebuddy__kimi-k3-2__oob__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,bnbInt8VectorQuant,reductions-scans,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,with-sycl-skill,0,False,True,wrong_output,False,331308,,2093,,333401,0.0,provider_reported,75.00713059998816,87.26366499997675,22,500000,False,90f42b6c-d0c7-4286-8b7b-cfd0e1f93e12,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/bnbInt8VectorQuant/codebuddy__kimi-k3-2__with-sycl-skill__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,bnbStableEmbeddingGrad,graph-irregular,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,oob,0,False,True,pass,True,375214,,2663,,377877,0.0,provider_reported,100.72091849998105,114.92226399999345,30,500000,False,edbedd42-d531-4e4d-9424-f438517a13d4,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/bnbStableEmbeddingGrad/codebuddy__kimi-k3-2__oob__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,bnbStableEmbeddingGrad,graph-irregular,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,with-sycl-skill,0,False,True,pass,True,376674,,1899,,378573,0.0,provider_reported,84.40122800000245,96.85165610001422,24,500000,False,30add497-133d-47c2-996f-c51fde312620,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/bnbStableEmbeddingGrad/codebuddy__kimi-k3-2__with-sycl-skill__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,cutlassBasicGemmTile,linear-algebra,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,oob,0,False,True,pass,True,444306,,3134,,447440,0.0,provider_reported,111.50203990004957,124.0548214999726,31,500000,False,f68bda04-5edf-49c6-a324-9cc0b5c4f6f3,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/cutlassBasicGemmTile/codebuddy__kimi-k3-2__oob__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,cutlassBasicGemmTile,linear-algebra,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,with-sycl-skill,0,False,True,pass,True,442920,,2773,,445693,0.0,provider_reported,101.21162209997419,113.66789610002888,27,500000,False,d125db88-d290-4dc8-bef8-36e35c28d199,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/cutlassBasicGemmTile/codebuddy__kimi-k3-2__with-sycl-skill__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,cutlassBatchedGemmSmall,linear-algebra,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,oob,0,False,True,pass,True,520178,,4022,,524200,0.0,provider_reported,139.50037959998008,151.61637619999237,38,500000,True,12242261-d811-4ecc-b047-7cfed6a36774,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/cutlassBatchedGemmSmall/codebuddy__kimi-k3-2__oob__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,cutlassBatchedGemmSmall,linear-algebra,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,with-sycl-skill,0,False,True,pass,True,437832,,2503,,440335,0.0,provider_reported,94.77336099999957,106.67287369997939,29,500000,False,749334d1-53af-4050-b3ee-3be3598d373e,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/cutlassBatchedGemmSmall/codebuddy__kimi-k3-2__with-sycl-skill__r0/migration.json
codebuddy-kimi-k3-2-hard50-v1,daliColorSpaceConversion,stencil-convolution,hard,codebuddy,claude_code,kimi-k3-2,kimi-k3-2,kimi-k3-2,oob,0,False,True,pass,True,366892,,1745,,368637,0.0,provider_reported,76.43191809998825,88.5608646000037,24,500000,False,73524cf6-8acf-4880-aa01-a283c3fc6d0c,artifacts/stage2/codebuddy-kimi-k3-2-hard50-v1/daliColorSpaceConversion/codebuddy__kimi-k3-2__oob__r0/migration.json
