experiment_id,case_id,category,difficulty,harness,adapter,model,requested_model_id,reported_model_id,skill_condition,repeat,synthetic,eligible_for_scoring,funnel,migration_success,tokens_in,cached_input_tokens,tokens_out,reasoning_output_tokens,tokens_total,cost_usd,cost_source,migration_wall_clock_s,e2e_elapsed_s,iterations,token_budget,token_budget_exceeded,session_id,result_path
codebuddy-minimax-m3-full250-v1,adamUpdate,simple-kernels,medium,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,oob,0,False,True,pass,True,537142,,3394,,540536,0.0,provider_reported,71.80479029996786,88.03472039999906,37,500000,True,4d7aa583-4c6d-401b-b6ef-dce59a610fb2,artifacts/stage2/codebuddy-minimax-m3-full250-v1/adamUpdate/codebuddy__minimax-m3__oob__r0/migration.json
codebuddy-minimax-m3-full250-v1,adamUpdate,simple-kernels,medium,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,with-sycl-skill,0,False,True,pass,True,1611972,,3451,,1615423,0.0,provider_reported,87.92789130000165,103.56362119998084,60,500000,True,c6b836b3-d737-49f3-ac6e-77f80c541d0c,artifacts/stage2/codebuddy-minimax-m3-full250-v1/adamUpdate/codebuddy__minimax-m3__with-sycl-skill__r0/migration.json
codebuddy-minimax-m3-full250-v1,affine,simple-kernels,easy,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,oob,0,False,True,pass,True,459064,,3018,,462082,0.0,provider_reported,56.12217950000195,68.87202589999652,36,500000,False,e4c1efa1-7744-4a6a-859e-7378e01fad5c,artifacts/stage2/codebuddy-minimax-m3-full250-v1/affine/codebuddy__minimax-m3__oob__r0/migration.json
codebuddy-minimax-m3-full250-v1,affine,simple-kernels,easy,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,with-sycl-skill,0,False,True,pass,True,761476,,4705,,766181,0.0,provider_reported,107.86308370000916,122.23050310002873,53,500000,True,27f42563-7193-4cd5-a574-da99575d21e4,artifacts/stage2/codebuddy-minimax-m3-full250-v1/affine/codebuddy__minimax-m3__with-sycl-skill__r0/migration.json
codebuddy-minimax-m3-full250-v1,attention,multi-kernel-pipelines,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,oob,0,False,True,pass,True,1215598,,6447,,1222045,0.0,provider_reported,137.43861160002416,152.02078930003336,59,500000,True,db2a0890-4d1d-428f-b014-9cfd8514bf2b,artifacts/stage2/codebuddy-minimax-m3-full250-v1/attention/codebuddy__minimax-m3__oob__r0/migration.json
codebuddy-minimax-m3-full250-v1,attention,multi-kernel-pipelines,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,with-sycl-skill,0,False,True,pass,True,610314,,5114,,615428,0.0,provider_reported,84.09812999999849,98.56943029997637,37,500000,True,511ba9c8-9289-4a67-9c62-95045f3d024b,artifacts/stage2/codebuddy-minimax-m3-full250-v1/attention/codebuddy__minimax-m3__with-sycl-skill__r0/migration.json
codebuddy-minimax-m3-full250-v1,batchedGemm,linear-algebra,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,oob,0,False,True,pass,True,816990,,5733,,822723,0.0,provider_reported,86.52653690002626,100.92654920002678,33,500000,True,8f8264a7-04d9-4527-b9d6-db4a4eba5a31,artifacts/stage2/codebuddy-minimax-m3-full250-v1/batchedGemm/codebuddy__minimax-m3__oob__r0/migration.json
codebuddy-minimax-m3-full250-v1,batchedGemm,linear-algebra,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,with-sycl-skill,0,False,True,pass,True,1361176,,8727,,1369903,0.0,provider_reported,128.22850730002392,142.53569940000307,55,500000,True,10110f9a-ffde-4bd1-82a0-5664b5e07908,artifacts/stage2/codebuddy-minimax-m3-full250-v1/batchedGemm/codebuddy__minimax-m3__with-sycl-skill__r0/migration.json
codebuddy-minimax-m3-full250-v1,bfs,graph-irregular,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,oob,0,False,True,pass,True,603480,,10102,,613582,0.0,provider_reported,149.8480810999754,164.1445200999733,42,500000,True,7613aa64-822c-4dd9-b07b-05986c338726,artifacts/stage2/codebuddy-minimax-m3-full250-v1/bfs/codebuddy__minimax-m3__oob__r0/migration.json
codebuddy-minimax-m3-full250-v1,bfs,graph-irregular,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,with-sycl-skill,0,False,True,pass,True,673520,,4037,,677557,0.0,provider_reported,72.79700919997413,84.15832769998815,44,500000,True,d63e9aec-d264-47f8-980b-089519c0ef3a,artifacts/stage2/codebuddy-minimax-m3-full250-v1/bfs/codebuddy__minimax-m3__with-sycl-skill__r0/migration.json
