experiment_id,case_id,category,difficulty,harness,adapter,model,requested_model_id,reported_model_id,skill_condition,repeat,synthetic,eligible_for_scoring,funnel,migration_success,tokens_in,cached_input_tokens,tokens_out,reasoning_output_tokens,tokens_total,cost_usd,cost_source,migration_wall_clock_s,e2e_elapsed_s,iterations,token_budget,token_budget_exceeded,session_id,result_path
codebuddy-minimax-m3-full250-v1,attention,multi-kernel-pipelines,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,oob,0,False,True,pass,True,1215598,,6447,,1222045,0.0,provider_reported,137.43861160002416,152.02078930003336,59,500000,True,db2a0890-4d1d-428f-b014-9cfd8514bf2b,artifacts/stage2/codebuddy-minimax-m3-hard50-v1/attention/codebuddy__minimax-m3__oob__r0/migration.json
codebuddy-minimax-m3-full250-v1,attention,multi-kernel-pipelines,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,with-sycl-skill,0,False,True,pass,True,610314,,5114,,615428,0.0,provider_reported,84.09812999999849,98.56943029997637,37,500000,True,511ba9c8-9289-4a67-9c62-95045f3d024b,artifacts/stage2/codebuddy-minimax-m3-hard50-v1/attention/codebuddy__minimax-m3__with-sycl-skill__r0/migration.json
codebuddy-minimax-m3-full250-v1,batchedGemm,linear-algebra,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,oob,0,False,True,pass,True,816990,,5733,,822723,0.0,provider_reported,86.52653690002626,100.92654920002678,33,500000,True,8f8264a7-04d9-4527-b9d6-db4a4eba5a31,artifacts/stage2/codebuddy-minimax-m3-hard50-v1/batchedGemm/codebuddy__minimax-m3__oob__r0/migration.json
codebuddy-minimax-m3-full250-v1,batchedGemm,linear-algebra,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,with-sycl-skill,0,False,True,pass,True,1361176,,8727,,1369903,0.0,provider_reported,128.22850730002392,142.53569940000307,55,500000,True,10110f9a-ffde-4bd1-82a0-5664b5e07908,artifacts/stage2/codebuddy-minimax-m3-hard50-v1/batchedGemm/codebuddy__minimax-m3__with-sycl-skill__r0/migration.json
codebuddy-minimax-m3-full250-v1,bnbAdam8bitMoments,simple-kernels,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,oob,0,False,True,wrong_output,False,1048434,,2877,,1051311,0.0,provider_reported,71.02217120002024,83.78006050002296,47,500000,True,66a09932-1522-4995-b3db-0a8e9ebbabde,artifacts/stage2/codebuddy-minimax-m3-hard50-v1/bnbAdam8bitMoments/codebuddy__minimax-m3__oob__r0/migration.json
codebuddy-minimax-m3-full250-v1,bnbAdam8bitMoments,simple-kernels,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,with-sycl-skill,0,False,True,wrong_output,False,825056,,3741,,828797,0.0,provider_reported,74.12318950000918,86.2079580000136,54,500000,True,598aada4-483b-49a5-aa7f-8845b363d178,artifacts/stage2/codebuddy-minimax-m3-hard50-v1/bnbAdam8bitMoments/codebuddy__minimax-m3__with-sycl-skill__r0/migration.json
codebuddy-minimax-m3-full250-v1,bnbInt8VectorQuant,reductions-scans,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,oob,0,False,True,wrong_output,False,471536,,6549,,478085,0.0,provider_reported,84.71109679999063,99.05310039996402,26,500000,False,2e45763f-0224-4551-bb1f-87253381ed22,artifacts/stage2/codebuddy-minimax-m3-hard50-v1/bnbInt8VectorQuant/codebuddy__minimax-m3__oob__r0/migration.json
codebuddy-minimax-m3-full250-v1,bnbInt8VectorQuant,reductions-scans,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,with-sycl-skill,0,False,True,wrong_output,False,1621490,,5622,,1627112,0.0,provider_reported,130.00667940004496,145.36569770000642,64,500000,True,8f6ef34f-9d5a-48a0-8eb9-75f886776313,artifacts/stage2/codebuddy-minimax-m3-hard50-v1/bnbInt8VectorQuant/codebuddy__minimax-m3__with-sycl-skill__r0/migration.json
codebuddy-minimax-m3-full250-v1,bnbStableEmbeddingGrad,graph-irregular,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,oob,0,False,True,pass,True,528394,,4069,,532463,0.0,provider_reported,70.23674349999055,81.77815580001334,33,500000,True,341f5b3b-209f-4829-b94f-8265c3cfcb49,artifacts/stage2/codebuddy-minimax-m3-hard50-v1/bnbStableEmbeddingGrad/codebuddy__minimax-m3__oob__r0/migration.json
codebuddy-minimax-m3-full250-v1,bnbStableEmbeddingGrad,graph-irregular,hard,codebuddy,claude_code,minimax-m3,minimax-m3,minimax-m3,with-sycl-skill,0,False,True,pass,True,1071712,,3020,,1074732,0.0,provider_reported,71.66179169999668,83.2735027000308,41,500000,True,c8f9a308-bc2a-4e69-a2f7-137899a7f996,artifacts/stage2/codebuddy-minimax-m3-hard50-v1/bnbStableEmbeddingGrad/codebuddy__minimax-m3__with-sycl-skill__r0/migration.json
