experiment_id,case_id,category,difficulty,harness,adapter,model,requested_model_id,reported_model_id,skill_condition,repeat,synthetic,eligible_for_scoring,funnel,migration_success,tokens_in,cached_input_tokens,tokens_out,reasoning_output_tokens,tokens_total,cost_usd,cost_source,migration_wall_clock_s,e2e_elapsed_s,iterations,token_budget,token_budget_exceeded,session_id,result_path
qoder-kimi-k3-hard50-v1,attention,multi-kernel-pipelines,hard,qoder,external_command,kimi-k3,Kimi-K3,,oob,0,False,True,pass,True,,,,,,,unavailable,1044.864697970006,1054.146698428005,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/attention/qoder__kimi-k3__oob__r0/migration.json
qoder-kimi-k3-hard50-v1,attention,multi-kernel-pipelines,hard,qoder,external_command,kimi-k3,Kimi-K3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,232.27891720399202,241.3855559770018,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/attention/qoder__kimi-k3__with-sycl-skill__r0/migration.json
qoder-kimi-k3-hard50-v1,batchedGemm,linear-algebra,hard,qoder,external_command,kimi-k3,Kimi-K3,,oob,0,False,True,pass,True,,,,,,,unavailable,191.02031388998148,200.70749684300972,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/batchedGemm/qoder__kimi-k3__oob__r0/migration.json
qoder-kimi-k3-hard50-v1,batchedGemm,linear-algebra,hard,qoder,external_command,kimi-k3,Kimi-K3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,118.73480636900058,128.08611676099827,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/batchedGemm/qoder__kimi-k3__with-sycl-skill__r0/migration.json
qoder-kimi-k3-hard50-v1,bnbAdam8bitMoments,simple-kernels,hard,qoder,external_command,kimi-k3,Kimi-K3,,oob,0,False,True,wrong_output,False,,,,,,,unavailable,120.11142695799936,129.29075149800337,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/bnbAdam8bitMoments/qoder__kimi-k3__oob__r0/migration.json
qoder-kimi-k3-hard50-v1,bnbAdam8bitMoments,simple-kernels,hard,qoder,external_command,kimi-k3,Kimi-K3,,with-sycl-skill,0,False,True,wrong_output,False,,,,,,,unavailable,1009.6499901520001,1029.5698156050057,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/bnbAdam8bitMoments/qoder__kimi-k3__with-sycl-skill__r0/migration.json
qoder-kimi-k3-hard50-v1,bnbInt8VectorQuant,reductions-scans,hard,qoder,external_command,kimi-k3,Kimi-K3,,oob,0,False,True,pass,True,,,,,,,unavailable,432.06516501601436,441.81845577500644,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/bnbInt8VectorQuant/qoder__kimi-k3__oob__r0/migration.json
qoder-kimi-k3-hard50-v1,bnbInt8VectorQuant,reductions-scans,hard,qoder,external_command,kimi-k3,Kimi-K3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,608.6269228470046,618.8256424959982,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/bnbInt8VectorQuant/qoder__kimi-k3__with-sycl-skill__r0/migration.json
qoder-kimi-k3-hard50-v1,bnbStableEmbeddingGrad,graph-irregular,hard,qoder,external_command,kimi-k3,Kimi-K3,,oob,0,False,True,pass,True,,,,,,,unavailable,197.08533753600204,206.6456486429961,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/bnbStableEmbeddingGrad/qoder__kimi-k3__oob__r0/migration.json
qoder-kimi-k3-hard50-v1,bnbStableEmbeddingGrad,graph-irregular,hard,qoder,external_command,kimi-k3,Kimi-K3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,161.41750927000248,171.30786817301123,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/bnbStableEmbeddingGrad/qoder__kimi-k3__with-sycl-skill__r0/migration.json
qoder-kimi-k3-hard50-v1,cutlassBasicGemmTile,linear-algebra,hard,qoder,external_command,kimi-k3,Kimi-K3,,oob,0,False,True,pass,True,,,,,,,unavailable,173.1548071290017,183.1079373649991,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/cutlassBasicGemmTile/qoder__kimi-k3__oob__r0/migration.json
qoder-kimi-k3-hard50-v1,cutlassBasicGemmTile,linear-algebra,hard,qoder,external_command,kimi-k3,Kimi-K3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,164.5901990870043,173.6975293459982,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/cutlassBasicGemmTile/qoder__kimi-k3__with-sycl-skill__r0/migration.json
qoder-kimi-k3-hard50-v1,cutlassBatchedGemmSmall,linear-algebra,hard,qoder,external_command,kimi-k3,Kimi-K3,,oob,0,False,True,pass,True,,,,,,,unavailable,197.90217560098972,207.00545970498933,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/cutlassBatchedGemmSmall/qoder__kimi-k3__oob__r0/migration.json
qoder-kimi-k3-hard50-v1,cutlassBatchedGemmSmall,linear-algebra,hard,qoder,external_command,kimi-k3,Kimi-K3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,186.7506591429992,195.87011645000894,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/cutlassBatchedGemmSmall/qoder__kimi-k3__with-sycl-skill__r0/migration.json
qoder-kimi-k3-hard50-v1,daliColorSpaceConversion,stencil-convolution,hard,qoder,external_command,kimi-k3,Kimi-K3,,oob,0,False,True,pass,True,,,,,,,unavailable,149.64335394299997,158.81547014100943,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/daliColorSpaceConversion/qoder__kimi-k3__oob__r0/migration.json
qoder-kimi-k3-hard50-v1,daliColorSpaceConversion,stencil-convolution,hard,qoder,external_command,kimi-k3,Kimi-K3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,130.35877637199883,139.43691302501247,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/daliColorSpaceConversion/qoder__kimi-k3__with-sycl-skill__r0/migration.json
qoder-kimi-k3-hard50-v1,daliColorTwist,stencil-convolution,hard,qoder,external_command,kimi-k3,Kimi-K3,,oob,0,False,True,pass,True,,,,,,,unavailable,177.8106899580016,187.15150973499112,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/daliColorTwist/qoder__kimi-k3__oob__r0/migration.json
qoder-kimi-k3-hard50-v1,daliColorTwist,stencil-convolution,hard,qoder,external_command,kimi-k3,Kimi-K3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,101.61093334500038,110.53049798100255,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/daliColorTwist/qoder__kimi-k3__with-sycl-skill__r0/migration.json
qoder-kimi-k3-hard50-v1,daliCropMirrorNormalize,stencil-convolution,hard,qoder,external_command,kimi-k3,Kimi-K3,,oob,0,False,True,pass,True,,,,,,,unavailable,860.7480549829925,869.3803931589937,0,150000,False,,artifacts/stage2/qoder-kimi-k3-hard50-v1/daliCropMirrorNormalize/qoder__kimi-k3__oob__r0/migration.json
