experiment_id,case_id,category,difficulty,harness,adapter,model,requested_model_id,reported_model_id,skill_condition,repeat,synthetic,eligible_for_scoring,funnel,migration_success,tokens_in,cached_input_tokens,tokens_out,reasoning_output_tokens,tokens_total,cost_usd,cost_source,migration_wall_clock_s,e2e_elapsed_s,iterations,token_budget,token_budget_exceeded,session_id,result_path
qoder-minimax-m3-hard50-v1,attention,multi-kernel-pipelines,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,pass,True,,,,,,,unavailable,82.24732453700017,91.45833530300024,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/attention/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,attention,multi-kernel-pipelines,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,161.3168174479997,170.63870884000062,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/attention/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,batchedGemm,linear-algebra,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,pass,True,,,,,,,unavailable,52.95660065100037,62.499092506000125,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/batchedGemm/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,batchedGemm,linear-algebra,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,87.885865405,97.10359719600001,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/batchedGemm/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,bnbAdam8bitMoments,simple-kernels,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,wrong_output,False,,,,,,,unavailable,50.222090666999975,60.034754950000206,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/bnbAdam8bitMoments/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,bnbAdam8bitMoments,simple-kernels,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,wrong_output,False,,,,,,,unavailable,67.13451315099974,76.72826061400065,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/bnbAdam8bitMoments/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,bnbInt8VectorQuant,reductions-scans,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,wrong_output,False,,,,,,,unavailable,103.6017143450008,113.21727462600029,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/bnbInt8VectorQuant/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,bnbInt8VectorQuant,reductions-scans,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,wrong_output,False,,,,,,,unavailable,102.25696914299988,111.8258946220003,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/bnbInt8VectorQuant/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,bnbStableEmbeddingGrad,graph-irregular,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,pass,True,,,,,,,unavailable,77.53250785199998,87.43579368199971,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/bnbStableEmbeddingGrad/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,bnbStableEmbeddingGrad,graph-irregular,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,211.07091305199992,220.77123275600024,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/bnbStableEmbeddingGrad/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,cutlassBasicGemmTile,linear-algebra,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,pass,True,,,,,,,unavailable,140.5958454749998,149.7677269549995,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/cutlassBasicGemmTile/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,cutlassBasicGemmTile,linear-algebra,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,75.39075870599936,85.31011673699959,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/cutlassBasicGemmTile/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,cutlassBatchedGemmSmall,linear-algebra,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,pass,True,,,,,,,unavailable,92.01601413499975,101.40167880900026,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/cutlassBatchedGemmSmall/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,cutlassBatchedGemmSmall,linear-algebra,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,75.99102093300007,85.18095856199943,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/cutlassBatchedGemmSmall/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,daliColorSpaceConversion,stencil-convolution,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,pass,True,,,,,,,unavailable,63.99268163299894,73.40896766599872,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/daliColorSpaceConversion/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,daliColorSpaceConversion,stencil-convolution,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,64.8500256039988,73.6286841279998,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/daliColorSpaceConversion/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,daliColorTwist,stencil-convolution,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,pass,True,,,,,,,unavailable,55.98196053199899,65.13097190799999,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/daliColorTwist/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,daliColorTwist,stencil-convolution,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,56.8301999209998,65.99783031799961,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/daliColorTwist/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,daliCropMirrorNormalize,stencil-convolution,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,pass,True,,,,,,,unavailable,56.692941741999675,65.66461090499979,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/daliCropMirrorNormalize/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,daliCropMirrorNormalize,stencil-convolution,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,75.38196543899903,84.5039269989993,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/daliCropMirrorNormalize/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,daliDct8x8,stencil-convolution,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,pass,True,,,,,,,unavailable,68.80589855499966,78.08750958000019,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/daliDct8x8/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,daliDct8x8,stencil-convolution,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,81.09467497800142,90.34984846999942,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/daliDct8x8/qoder__minimax-m3__with-sycl-skill__r0/migration.json
qoder-minimax-m3-hard50-v1,daliNormalizePermute,stencil-convolution,hard,qoder,external_command,minimax-m3,MiniMax-M3,,oob,0,False,True,pass,True,,,,,,,unavailable,93.4630233099997,102.85316160299953,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/daliNormalizePermute/qoder__minimax-m3__oob__r0/migration.json
qoder-minimax-m3-hard50-v1,daliNormalizePermute,stencil-convolution,hard,qoder,external_command,minimax-m3,MiniMax-M3,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,336.57055137800126,345.7715895879992,0,150000,False,,artifacts/stage2/qoder-minimax-m3-hard50-v1/daliNormalizePermute/qoder__minimax-m3__with-sycl-skill__r0/migration.json
