experiment_id,case_id,category,difficulty,harness,adapter,model,requested_model_id,reported_model_id,skill_condition,repeat,synthetic,eligible_for_scoring,funnel,migration_success,tokens_in,cached_input_tokens,tokens_out,reasoning_output_tokens,tokens_total,cost_usd,cost_source,migration_wall_clock_s,e2e_elapsed_s,iterations,token_budget,token_budget_exceeded,session_id,result_path
trae-minimax-m3-pilot-v1,attention,multi-kernel-pipelines,hard,trae,external_command,minimax-m3,minimax/minimax-m3,minimax/minimax-m3,oob,0,False,True,wrong_output,False,243265,,7971,,251236,,unavailable,310.20096809999086,321.13243489991874,30,150000,True,,artifacts/stage2/trae-minimax-m3-pilot-v1/attention/trae__minimax-m3__oob__r0/migration.json
trae-minimax-m3-pilot-v1,attention,multi-kernel-pipelines,hard,trae,external_command,minimax-m3,minimax/minimax-m3,minimax/minimax-m3,with-sycl-skill,0,False,True,missing,False,258466,,12092,,270558,,unavailable,507.54659959999844,507.63737759995274,30,150000,True,,artifacts/stage2/trae-minimax-m3-pilot-v1/attention/trae__minimax-m3__with-sycl-skill__r0/migration.json
trae-minimax-m3-pilot-v1,bfs,graph-irregular,hard,trae,external_command,minimax-m3,minimax/minimax-m3,minimax/minimax-m3,oob,0,False,True,pass,True,287862,,34807,,322669,,unavailable,732.0131135999691,743.6617998001166,30,150000,True,,artifacts/stage2/trae-minimax-m3-pilot-v1/bfs/trae__minimax-m3__oob__r0/migration.json
trae-minimax-m3-pilot-v1,bfs,graph-irregular,hard,trae,external_command,minimax-m3,minimax/minimax-m3,minimax/minimax-m3,with-sycl-skill,0,False,True,pass,True,331088,,8481,,339569,,unavailable,2115.2885287001263,2126.9381834000815,30,150000,True,,artifacts/stage2/trae-minimax-m3-pilot-v1/bfs/trae__minimax-m3__with-sycl-skill__r0/migration.json
trae-minimax-m3-pilot-v1,conv1dShared,stencil-convolution,medium,trae,external_command,minimax-m3,minimax/minimax-m3,minimax/minimax-m3,oob,0,False,True,pass,True,251164,,20290,,271454,,unavailable,246.508753699949,257.3649428000208,30,150000,True,,artifacts/stage2/trae-minimax-m3-pilot-v1/conv1dShared/trae__minimax-m3__oob__r0/migration.json
trae-minimax-m3-pilot-v1,conv1dShared,stencil-convolution,medium,trae,external_command,minimax-m3,minimax/minimax-m3,minimax/minimax-m3,with-sycl-skill,0,False,True,missing,False,307991,,3668,,311659,,unavailable,33308.44251779979,33308.52569190017,30,150000,True,,artifacts/stage2/trae-minimax-m3-pilot-v1/conv1dShared/trae__minimax-m3__with-sycl-skill__r0/migration.json
trae-minimax-m3-pilot-v1,histogram,streams-atomics-templates,hard,trae,external_command,minimax-m3,minimax/minimax-m3,minimax/minimax-m3,oob,0,False,True,pass,True,242042,,9940,,251982,,unavailable,175.9535523999948,187.42492790007964,30,150000,True,,artifacts/stage2/trae-minimax-m3-pilot-v1/histogram/trae__minimax-m3__oob__r0/migration.json
trae-minimax-m3-pilot-v1,histogram,streams-atomics-templates,hard,trae,external_command,minimax-m3,minimax/minimax-m3,minimax/minimax-m3,with-sycl-skill,0,False,True,pass,True,282982,,14099,,297081,,unavailable,369.7220159000717,380.5501423999667,30,150000,True,,artifacts/stage2/trae-minimax-m3-pilot-v1/histogram/trae__minimax-m3__with-sycl-skill__r0/migration.json
trae-minimax-m3-pilot-v1,nbodyTiled,molecular-dynamics,medium,trae,external_command,minimax-m3,minimax/minimax-m3,minimax/minimax-m3,oob,0,False,True,missing,False,32542,,541,,33083,,unavailable,58.705950000090525,58.794472499983385,7,150000,False,,artifacts/stage2/trae-minimax-m3-pilot-v1/nbodyTiled/trae__minimax-m3__oob__r0/migration.json
trae-minimax-m3-pilot-v1,nbodyTiled,molecular-dynamics,medium,trae,external_command,minimax-m3,minimax/minimax-m3,minimax/minimax-m3,with-sycl-skill,0,False,True,missing,False,127977,,1272,,129249,,unavailable,112.50450689997524,112.59960899990983,16,150000,False,,artifacts/stage2/trae-minimax-m3-pilot-v1/nbodyTiled/trae__minimax-m3__with-sycl-skill__r0/migration.json
